#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.600 0            0.999994        805.404         7368        1828        2176        2864        686567748     598643291     52453867      0             40347176203   24432418349   8712107698    229691131     60165962      40731860      30678134      24571366      20476662      17557311      15357717      13651120      12287821      11176969      10235830      9459308       8778484       8193664       7676212       7231828       6827048       6468586       6145750       5849612       5583892       5343401       5125089       4912958       4728332       4548603       4389391       4238879       4096610       3963956       3841730       3721758       3614939       3510705       3410566       3317237       3232485       3153953       3071783       2996563       2926876       2857264       2794213       2728014       2670013       2615293       2559863       2506268       2457594       2410162       2363895       2315593       2277197       2232097       2193986       2155841       2117008       2080079       2035084       1965348       1833404       1535627       921824        
0.600 1            1               14.7474         2303        29          66          226         2934957682    2885145547    45558149      0             9824579132    8442738465    1184942791    1920535393    437860654     209591154     115561079     68024962      41360718      25672714      16207155      10331231      6620425       4270152       2759426       1794601       1173179       774233        524982        374908        298110        282920        323162        407622        521607        637442        734095        792161        813815        809148        812426        857186        980863        1209828       1548974       1997341       2536800       3124076       3718553       4254422       4682614       4952873       5023257       4900186       4584771       4121885       3565069       2963298       2383536       1867019       1433780       1095298       840879        658060        518150        404530        307391        223279        151081        92610         51463         24594         10019         3460          876           170           17            
0.600 2            0.999998        302.193         6543        1035        1356        1972        1545607879    1465717968    59045520      0             25931837830   17768054124   5668345302    1092480710    70793338      41660597      30487338      24472102      20436499      17535512      15350623      13657450      12292058      11175642      10241839      9457464       8776154       8192045       7682235       7229646       6827311       6469195       6143626       5849378       5584814       5344632       5117001       4915972       4728847       4550497       4390208       4238210       4094077       3963667       3840277       3723633       3614893       3510016       3414131       3321196       3231641       3151073       3072421       2995565       2925590       2854292       2787771       2724222       2658841       2596077       2525798       2448249       2363004       2259296       2132467       1978067       1785602       1558221       1296305       1016783       734006        479055        274630        131524        49848         12860         1838          
0.600 3            1               3.821           633         10          15          28          4480460846    4447971944    30131762      0             9606353341    8716495336    734821584     3295426410    761798196     251300784     84919725      29518299      10646687      4009734       1593054       670452        299553        139774        68138         34095         17434         9142          4853          2512          1337          755           341           260           214           354           779           1890          4371          9466          19280         39161         73728         135055        234151        387404        611720        916062        1305552       1765181       2272746       2778265       3226570       3553764       3713533       3672163       3442532       3044991       2550492       2014637       1500642       1055639       699934        436476        256765        141633        73197         35343         15853         6393          2321          773           208           65            8             0             0             
0.500 0            0.999994        728.931         8743        1730        2096        2834        749986106     662184442     56970748      0             26324250194   16236880071   5983754255    293682359     60855260      40602650      30616903      24552418      20476814      17559220      15358428      13649062      12283777      11167956      10241688      9455423       8773591       8193153       7679278       7225073       6824709       6467533       6141823       5847686       5583858       5341994       5118727       4921963       4728068       4551464       4388712       4237082       4096516       3961688       3839675       3723159       3611396       3513621       3410190       3323428       3232759       3151477       3069826       2999541       2924141       2857356       2792493       2733221       2673381       2612157       2561583       2506543       2458059       2409746       2364500       2319979       2273664       2233127       2195177       2152544       2108499       2059219       1982835       1854105       1618988       1213513       621328        
0.500 1            1               15.7437         2872        28          71          267         3047708100    2997569061    46115753      0             7249209573    6258468669    842058104     2026560276    452529639     213479189     116088894     67550017      40418543      24416731      15000675      9298945       5789694       3619263       2263865       1427295       899823        572556        370790        248231        180285        155125        171072        225422        317268        428112        534834        616359        652406        648674        624511        604686        632940        735571        941538        1259974       1694319       2224068       2821291       3439092       4022912       4514798       4854514       5004306       4931189       4652295       4198108       3625681       2999865       2385090       1828187       1367579       1014409       755858        577303        450174        351818        267643        193005        128267        76653         40112         17718         6457          1813          340           33            
0.500 2            0.999998        274.663         6622        964         1305        1974        1541476311    1461762374    62831399      0             16335083331   11417760185   3626103221    1078851375    79105731      43368686      30453499      24335761      20338098      17492918      15333852      13646451      12284920      11167007      10237980      9446904       8770827       8193271       7676142       7226753       6821508       6464672       6145736       5849188       5582755       5341388       5120550       4913299       4727042       4549566       4387641       4239117       4099060       3967593       3841185       3724874       3615088       3512734       3414132       3325742       3230728       3152947       3071492       2996961       2920897       2854249       2784709       2717027       2649541       2579704       2506661       2427865       2332978       2221992       2092250       1935218       1747040       1531568       1286010       1024936       762132        517442        311421        160193        65338         18953         3014          
0.500 3            1               3.388           926         9           14          28          4718055130    4688112384    27356033      0             6851762512    6185660167    513217658     3533493646    811442498     237190679     70003783      21132112      6580833       2136741       729931        265469        102515        41838         17752         8167          3551          1668          731           387           156           92            42            25            8             16            25            65            218           579           1516          3589          8227          18076         38032         74606         139884        248259        416583        662257        997160        1418980       1904848       2421625       2898345       3269666       3465441       3451393       3226435       2828204       2320797       1784027       1282587       860649        538586        312562        167434        82717         36847         14848         5306          1608          396           98            11            4             0             
0.400 0            0.999994        702.106         9470        1736        2144        2976        846074544     758742222     59661390      0             16950396575   10681239075   3874788677    389318519     63147544      40588522      30462348      24493605      20465333      17548207      15358136      13656268      12284839      11165511      10242398      9450794       8776285       8191878       7681507       7231193       6826801       6464196       6146819       5850085       5587192       5345383       5123981       4915398       4726944       4552617       4385746       4238115       4097894       3961988       3839130       3725668       3616850       3509282       3416015       3315374       3232408       3150621       3074077       2994612       2925410       2856738       2793827       2730680       2672244       2614704       2560096       2507243       2456385       2409320       2363840       2315094       2272930       2229964       2185038       2128020       2058753       1962144       1817633       1590076       1261440       835177        367705        
0.400 1            1               17.563          4313        29          78          321         3252180748    3204082357    44159565      0             5256271231    4573894759    565930287     2227617905    466220021     217517649     116997390     67428172      39559518      22849047      13517180      8052113       4809886       2880570       1724750       1034713       622237        375986        231187        146631        96747         73732         72589         96511         150363        231666        328175        421289        480216        499244        476375        432875        399353        405200        478525        635190        893035        1252833       1714291       2259074       2851956       3452476       4004250       4435956       4701200       4757841       4601022       4241619       3726361       3116668       2485747       1898785       1394131       999497        714907        521153        391557        301086        227051        162558        106188        60510         29660         11991         3515          738           87            
0.400 2            0.999998        266.996         7840        956         1333        2092        1607680185    1529261732    64092448      0             10238305932   7371166851    2171786204    1133690111    90537665      45796552      30236523      24059366      20093447      17371194      15266862      13605899      12261902      11161731      10231483      9448852       8775163       8189541       7678293       7229117       6833584       6463126       6141416       5850058       5586060       5343099       5123164       4916911       4725106       4549235       4389320       4236348       4100508       3963282       3837106       3724684       3615808       3512603       3414497       3320694       3232337       3149222       3065997       2988760       2914046       2840381       2768044       2692435       2617052       2535255       2444225       2346289       2234189       2105348       1951041       1783517       1591321       1377730       1147372       912064        681866        471360        294368        159074        70099         22526         3957          
0.400 3            1               2.98075         1207        7           13          29          5012551189    4986845062    23487458      0             4753167510    4329891389    312912676     3856193270    846812327     210129042     52079043      13131669      3395877       908899        254099        75208         23926         7961          2891          998           389           155           69            16            10            2             1             0             1             0             0             1             2             8             37            107           325           940           2360          5912          13747         30262         62909         122715        225538        389221        634464        969122        1391153       1867884       2344248       2760607       3032895       3111062       2984670       2672148       2227439       1720841       1226311       802395        478894        256609        122338        51694         18805         5868          1443          296           62            4             0             
0.300 0            0.999994        722.943         11020       1860        2342        3342        998884500     912731334     60509999      0             10354839694   6706199993    2272365753    539147647     68860349      41090829      30176216      24327013      20382835      17525363      15344346      13647029      12286228      11167580      10246365      9454091       8779031       8188749       7675123       7231439       6825305       6469127       6145733       5851571       5582488       5342918       5120083       4916034       4722251       4549280       4388692       4235340       4094736       3963579       3840513       3721678       3613294       3513838       3413747       3321733       3235039       3151085       3074521       2995705       2922501       2856921       2793867       2728073       2670507       2614227       2558181       2506818       2455684       2405106       2352991       2302616       2246479       2179983       2097482       1992117       1856372       1671179       1433931       1145375       812529        476251        186787        
0.300 1            1               19.1839         6529        27          80          376         3585436754    3542680022    39289501      0             3554891478    3145722503    330434401     2563306660    481019863     221401922     117225579     66724284      38188163      20256846      11332243      6367991       3581243       2009424       1126888       633001        355275        200713        114453        67477         42093         28416         22992         27243         46581         85818         148086        223829        294839        340723        345781        315169        269306        227232        215421        250221        341526        500801        735875        1054430       1455106       1932702       2456359       2997464       3500976       3907891       4166601       4234683       4104191       3779305       3308734       2745580       2160126       1612976       1150000       796079        544272        380092        272696        196500        137926        87838         48365         22399         7543          1733          210           
0.300 2            0.999998        275.543         9230        1003        1443        2350        1770247955    1694625915    62907954      0             6125322710    4595511660    1157879210    1285247706    105115503     48674908      29384267      23380788      19466305      16999129      15012188      13462630      12173496      11107414      10203901      9426026       8770055       8182957       7674089       7225686       6823639       6462881       6143568       5847271       5585135       5339908       5119186       4911901       4724844       4554091       4389329       4237479       4095562       3964473       3841516       3718670       3615177       3507970       3404480       3311268       3220365       3134067       3046521       2961721       2879572       2788184       2699917       2605013       2504484       2397816       2282045       2152774       2007560       1852476       1684420       1499325       1309419       1111748       910700        716254        535287        375241        240028        136055        63815         22972         4780          
0.300 3            1               2.68204         1473        5           12          32          5342163897    5321072511    19407420      0             3162393287    2930757282    165801845     4229254311    873274690     172628504     34295008      6899219       1409555       293826        63536         14362         3412          888           220           72            20            5             2             1             1             0             0             0             0             0             0             0             0             0             0             0             0             14            25            137           388           1094          3079          7853          18811         41737         87231         170170        305769        513423        801466        1166355       1589782       2026034       2413114       2677713       2764600       2618928       2273311       1779450       1247888       773778        422399        200876        82134         28325         8159          1889          297           34            2             
0.200 0            0.999993        808.196         14598       2174        2798        4122        1265383908    1182313629    58751451      0             5544860147    3749728431    1082069776    796651065     82400656      43270146      29630942      23786240      20008064      17317610      15241362      13594914      12255901      11158088      10227894      9450771       8773136       8191559       7676004       7227269       6829383       6462638       6142186       5848595       5583617       5345203       5120630       4914351       4725087       4551432       4390975       4234427       4094715       3959924       3839452       3722356       3614347       3513621       3412850       3322111       3229880       3150741       3070693       2998178       2927698       2854869       2790134       2723799       2662551       2598830       2536420       2471107       2402909       2325232       2238993       2138818       2021941       1883888       1721746       1535730       1326837       1097291       859296        621983        404484        218842        81497         
0.200 1            1               20.3807         9282        22          73          437         4103025536    4069350611    30751893      0             2109425467    1911976170    148638897     3090470188    503943029     224197422     113822197     63110556      35343424      15774950      8123436       4195044       2155011       1103667       557312        284966        146112        74160         38026         20033         11756         7755          5543          4882          6709          15190         34794         70148         119052        169596        204567        207830        183553        142942        109349        94232         103921        141076        209974        313915        463389        664841        929367        1253823       1630599       2044039       2461911       2845238       3146285       3333358       3364411       3226672       2933361       2518788       2034598       1545647       1103206       743665        483457        310308        200601        128791        78440         41243         17363         5115          703           
0.200 2            0.999998        305.068         13354       1128        1689        2878        2093188680    2022707180    58639524      0             3269862164    2594978856    490155761     1603943340    122640909     50928370      26753863      21741544      17776527      16025888      14209548      12968009      11794581      10868311      10024768      9316716       8677757       8128577       7633682       7195102       6808781       6457125       6132155       5844248       5581198       5337132       5113470       4914043       4724127       4544140       4379808       4225452       4082012       3945743       3815875       3694722       3575888       3464705       3354692       3245640       3139894       3033017       2926330       2813539       2703477       2586609       2463102       2337650       2205221       2063367       1916850       1764413       1607539       1441572       1279961       1114296       952423        794427        644881        507696        381415        271364        180064        108154        55447         22409         5115          
0.200 3            1               3.018           2255        2           10          38          5760676911    5745874959    13121059      0             1943984083    1792674230    91717289      4673772298    918157093     129273658     19359193      2887403       435562        65905         10136         1585          283           36            5             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             2             2             23            83            288           976           2762          7701          19015         43217         89575         173164        313164        526923        829447        1206512       1623260       1983470       2183835       2142568       1863860       1441968       997818        626901        354690        175856        74406         24924         6276          986           81            
0.100 0            0.999992        1042            25582       3012        4016        6214        1830456310    1755944986    51602855      0             2066712643    1523304372    288725423     1338513695    117802556     50516182      28158128      21830937      18340262      16157038      14455397      13069212      11906322      10919103      10066529      9342053       8703289       8139404       7646882       7206877       6813901       6455158       6138990       5845800       5581290       5337272       5118021       4916334       4723974       4551828       4387616       4233348       4093466       3963552       3837508       3713430       3604696       3498815       3392421       3293915       3195449       3100149       3004523       2911738       2815710       2715289       2609896       2507793       2392619       2273702       2147780       2013470       1873762       1721262       1565905       1406682       1239657       1078040       913814        757575        609491        470588        347592        241903        152427        82106         32187         
0.100 1            1               26.504          24032       8           52          612         4878336440    4858007496    17773564      0             947705616     873745295     41814425      3866266223    553368567     227275522     104935186     54338914      31550289      9127324       4183940       1924409       865537        386518        160038        71043         31188         13733         5954          2581          1198          863           820           706           536           702           1797          5860          15864         34299         60382         84337         93055         81934         60583         41776         32799         34158         42356         58083         82168         116840        168148        242142        338879        461246        611908        792931        1007686       1255568       1531160       1811211       2040665       2170563       2165859       2016888       1755410       1428605       1092059       792065        540464        347317        208191        116363        56841         21576         4613          
0.100 2            0.999997        392.481         22983       1467        2378        4390        2795294088    2734418977    49328167      0             1292335063    1104775097    115390915     2329238102    142421867     49620215      19386022      18282838      13263360      13835440      11427501      11505065      10060364      9882884       8934298       8661572       7984209       7691275       7182933       6897726       6496198       6252425       5915756       5677014       5409688       5206501       4966229       4785007       4581086       4406276       4223730       4063710       3895262       3746263       3593723       3447310       3302667       3166880       3016306       2883083       2740473       2603314       2459715       2324985       2178953       2045497       1899205       1764741       1621513       1487153       1348755       1217576       1086203       962214        842113        728609        618698        518342        424574        340693        262876        196637        138037        90348         51313         24187         6579          
0.100 3            1               4.42259         4282        0           1           45          6259428946    6253071469    4879348       0             904956431     842097800     20984679      5177635195    989978813     75256853      7758107       710502        68003         6345          654           36            3             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             4             11            36            194           724           2324          6679          17741         41419         87481         165743        282652        431658        586956        705504        756309        753073        740163        750935        764813        714118        573625        376594        185805        60150         9723          
