#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.600 0            0.999994        801.799         8086        1820        2166        2850        679703566     592641837     51918425      0             39760302094   24071617219   8585838330    227458720     59530484      40313760      30366780      24321478      20275428      17381153      15200648      13511987      12166369      11066708      10134470      9362710       8685599       8104675       7603229       7159505       6758407       6403749       6080501       5795201       5532571       5288742       5066892       4863142       4678502       4507455       4344271       4196362       4052437       3923420       3794699       3685073       3579909       3475586       3379836       3288129       3202247       3118865       3040293       2968678       2896105       2829263       2766256       2703571       2644085       2585865       2535279       2484054       2431340       2387588       2340342       2295396       2254253       2213179       2170978       2133061       2099387       2059516       2014451       1947011       1813347       1519010       911559        
0.600 1            1               14.6345         2317        28          65          225         2905082510    2855723132    45180793      0             9667220929    8307718128    1167617056    1901044174    433419309     207441016     114354975     67308614      40912631      25418264      16027819      10220520      6550894       4224423       2734593       1774430       1162198       767420        519545        370383        293652        280484        321181        404710        516883        634784        731106        788089        807736        804639        805135        848565        969985        1191762       1530051       1970965       2502375       3087272       3675877       4213330       4632751       4899941       4974749       4854395       4544934       4085705       3529897       2937780       2364687       1849008       1421946       1086517       836011        654300        514232        403734        307427        222215        150212        92056         50941         24504         10244         3444          899           175           17            
0.600 2            0.999998        300.193         6299        1028        1347        1960        1529571481    1450461225    58514546      0             25502118613   17473354541   5580463743    1081009102    70065292      41236138      30168866      24222357      20239510      17364334      15200988      13514480      12159741      11060541      10141960      9354435       8692641       8112293       7600858       7155983       6757882       6402668       6080339       5797074       5528359       5295563       5072602       4865957       4677645       4507145       4343228       4195634       4058056       3923760       3799987       3686098       3576601       3476267       3378412       3286945       3201375       3120951       3041515       2969562       2896268       2826952       2761733       2697066       2633356       2568688       2499059       2426017       2339692       2237384       2115526       1958686       1765595       1542020       1283317       1005727       727915        476269        271559        131650        49166         12964         1728          
0.600 3            1               3.73925         619         10          15          27          4437447864    4405297273    29860634      0             9381315328    8518150483    716065336     3264319826    754465905     248701072     83964155      29173795      10503499      3957290       1570058       660244        293626        137262        67023         33355         17229         8896          4719          2581          1340          698           351           210           205           335           742           1835          4113          9190          18940         37974         72322         132194        229401        379654        600023        899613        1284059       1742117       2241778       2745557       3190733       3514288       3671484       3638006       3410748       3023606       2531533       1999558       1491164       1046248       692048        432166        253544        138825        71872         34332         15208         6193          2195          684           183           51            8             1             0             
0.500 0            0.999994        724.255         9205        1719        2084        2816        742545086     655630504     56421201      0             25897208964   15974751985   5889740529    290875146     60183887      40194000      30308254      24306899      20270911      17364812      15202961      13517156      12163667      11061350      10139534      9355861       8687509       8107610       7605907       7159664       6757386       6400516       6082381       5794908       5531805       5291952       5065582       4866423       4678811       4502896       4345062       4194195       4055020       3925251       3800574       3683955       3578218       3480836       3378439       3288234       3201970       3120097       3041037       2969142       2895662       2829961       2766011       2702908       2642965       2592729       2533000       2480361       2430115       2382674       2340793       2298458       2253052       2209550       2173061       2131339       2088746       2039670       1960525       1834516       1604970       1200061       614141        
0.500 1            1               15.5571         2893        28          70          264         3016950919    2967272757    45755707      0             7120781163    6149937213    827562425     2006360570    447895392     211250892     114861093     66838474      39982795      24158787      14851600      9196828       5729610       3580817       2242980       1410164       888866        564220        365901        245371        177683        153999        169943        225335        315674        425447        532485        611961        649225        648099        618509        599477        626520        728024        930177        1244411       1667783       2194849       2784646       3399548       3981030       4462125       4799766       4951035       4883368       4608739       4161047       3595203       2976850       2366497       1814697       1358445       1005550       753092        575050        448320        349965        268160        192974        127798        76786         40042         17681         6455          1756          296           37            
0.500 2            0.999998        272.597         6551        957         1296        1960        1525498300    1446571147    62264995      0             16051827777   11221457838   3566408540    1067554278    78268501      42907090      30148175      24093729      20137370      17320802      15177866      13508408      12151528      11055313      10139830      9353254       8692157       8107170       7606116       7157212       6755296       6405045       6079905       5792201       5532505       5287293       5068036       4867926       4675799       4508114       4343384       4195919       4051319       3924087       3798972       3688226       3582411       3473254       3379433       3286090       3201840       3118130       3042276       2965293       2893159       2827991       2757866       2694485       2620487       2554081       2482756       2402066       2309923       2202506       2073871       1916658       1730686       1516576       1275025       1015374       755210        512442        309384        159069        65363         18886         2883          
0.500 3            1               3.28675         893         8           13          28          4672756029    4643139150    27120597      0             6676229510    6040569215    493416420     3500288629    803374021     234736027     69214687      20874064      6496587       2106260       718413        260196        100042        40884         17350         7739          3632          1631          758           339           177           73            38            16            11            10            16            79            211           542           1344          3393          7956          17413         36804         72620         135613        242388        407249        649758        978424        1392868       1877472       2386416       2857667       3231739       3431544       3418219       3201624       2805079       2304429       1773661       1274671       856631        534090        309160        165567        81767         36311         14526         5192          1501          414           79            7             1             0             
0.400 0            0.999994        697.126         8786        1724        2130        2956        837695746     751222447     59120598      0             16664210818   10500906991   3813636648    385636760     62423321      40154325      30151523      24260578      20250345      17370332      15208573      13512005      12166846      11058066      10134165      9358444       8691557       8110064       7602190       7161421       6756652       6403305       6078738       5794642       5528858       5285653       5066304       4867586       4682152       4505611       4349295       4195159       4054071       3923535       3803741       3682645       3579812       3477996       3379098       3286701       3201522       3118528       3043228       2967532       2896406       2829226       2765628       2702303       2645597       2588453       2533115       2482583       2431894       2382110       2341084       2294363       2249068       2206133       2159540       2109030       2039179       1943653       1795125       1574844       1251259       827384        364890        
0.400 1            1               17.2699         4343        28          77          317         3219857378    3172211139    43809763      0             5153921413    4489166434    553099033     2205994941    461372809     215253321     115757873     66698335      39147601      22596831      13373867      7967465       4754651       2844893       1703651       1021915       615443        372798        227995        144258        96371         73091         71154         96249         149800        231907        328549        419217        480698        498547        476121        432749        396741        400729        470669        624993        876916        1234051       1688498       2222711       2812787       3407886       3954873       4383925       4654062       4712012       4559611       4203142       3691916       3094018       2468851       1884431       1385687       996923        712391        520478        392780        301010        228138        162359        105244        60814         29566         11792         3495          703           76            
