#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.600 0            0.999995        559.942         5158        1264        1496        1957        682448171     580524055     8080256       0             29191947840   15719638923   1059961204    232284590     57680345      40098540      30346742      24322038      20274971      17374430      15203467      13521713      12163987      11058342      10136720      9355639       8685188       8116843       7609720       7154836       6762679       6405171       6084999       5793391       5529386       5290048       5064913       4865316       4680773       4506156       4351197       4194523       4055350       3926457       3801992       3683450       3578401       3472876       3379422       3288635       3204770       3118505       3039829       2968707       2895228       2827726       2764043       2700376       2642251       2588543       2533255       2480551       2435677       2385134       2339745       2293397       2251656       2213564       2170458       2133578       2096200       2056208       2012629       1939734       1804055       1514773       934333        
0.600 1            1               8.74257         2212        9           22          173         2873769803    2820544230    3233906       0             7241947490    5224102676    75625033      1875062780    432715743     205752604     112826537     66197661      40190681      24963973      15767438      10070544      6479136       4191209       2724260       1780105       1173422       782872        541013        396363        327393        323924        382828        493037        634562        778991        893783        956029        961548        926607        886656        878319        944869        1112006       1402376       1804129       2312051       2878640       3462018       4014218       4472799       4784963       4916892       4848447       4593024       4183586       3658796       3085157       2521685       2003899       1570554       1229995       966262        770879        618894        490770        377094        275159        185815        114085        62846         30104         12290         4186          1071          213           13            
0.600 2            0.999999        163.195         4212        560         733         1070        1478138476    1383355304    4403384       0             15451731346   9167851720    257230413     1032046364    67460058      40653718      29956567      24167871      20216428      17355477      15202847      13519767      12164686      11065244      10133646      9357180       8685366       8110232       7604331       7156258       6761510       6397381       6080703       5791452       5529682       5289050       5067897       4864989       4677799       4506980       4343963       4195499       4055640       3924631       3800368       3683875       3574024       3473701       3380621       3285358       3200021       3121413       3041497       2968729       2900891       2827685       2761526       2701858       2638212       2576948       2508884       2442606       2366051       2273358       2162960       2028492       1859974       1651091       1406268       1129778       847370        573891        344372        172699        68705         19189         2845          
0.600 3            1               1.16602         130         3           5           13          4505934399    4474460008    3012          0             6095434186    5071262999    51843         3332289318    764891637     246041183     81226568      27505012      9631244       3518296       1355442       554277        239833        108825        51471         25502         12463         6259          3348          1695          906           433           250           122           104           168           390           958           2511          5740          12866         27183         54899         106075        191396        327906        533340        824472        1210261       1676302       2198999       2736287       3219879       3580722       3750182       3712800       3451004       3021369       2475064       1898550       1359967       907766        560861        319531        167204        80248         34715         13770         4862          1453          399           94            18            0             0             0             0             
0.500 0            0.999997        437.575         5109        1037        1255        1697        748293722     646529438     7130879       0             17200439027   9214092664    525115534     300934993     56538430      39633113      30218459      24294122      20268017      17392256      15200717      13515214      12158003      11063901      10136424      9361878       8687425       8108726       7599310       7155622       6760132       6400435       6084181       5797867       5528052       5287796       5072807       4865616       4676682       4504257       4343611       4196605       4054073       3925743       3800202       3685835       3578997       3474777       3376444       3288172       3204934       3116581       3039268       2966229       2896790       2827373       2766504       2700618       2646302       2589936       2535964       2481061       2434143       2384148       2340831       2293532       2253091       2210989       2172630       2129811       2086227       2031731       1951737       1819183       1591478       1208224       645513        
0.500 1            1               8.09856         2399        6           18          181         3006234723    2953690389    2894868       0             5342626693    3793836714    48902446      2004179101    444927594     209127802     113257417     65779313      39338880      23752454      14619651      9076945       5660425       3549596       2233396       1405318       893752        572598        375000        257729        193813        175606        201972        276406        393746        534808        669286        765108        802011        780532        717456        649671        619657        664119        810552        1071938       1451090       1939055       2508695       3119180       3719222       4244418       4646678       4864717       4874639       4667377       4281546       3756485       3154978       2546456       1992941       1520807       1153089       882257        689052        548873        433218        333326        240194        158907        93482         48754         21312         7696          2208          396           23            
0.500 2            0.999999        126.596         3977        450         618         960         1479828341    1385261557    2849878       0             9110070989    5325612152    84840116      1026537770    74363057      41939363      29640175      23936327      20071406      17299371      15162831      13499277      12157589      11058009      10129585      9358421       8692658       8109617       7608069       7159670       6761015       6405198       6082939       5792270       5533429       5289928       5069466       4865965       4676487       4503569       4340712       4193848       4057532       3921330       3799024       3687374       3579328       3475183       3377368       3290609       3201474       3117469       3040075       2968710       2894140       2824226       2760384       2690922       2626668       2562298       2493159       2418147       2333904       2234322       2119772       1979626       1811075       1609660       1382125       1131170       866844        613210        387758        210126        91593         29017         4698          
0.500 3            1               0.820996        158         2           4           12          4755540216    4726812134    1887          0             4562419451    3844068323    20815         3595317806    803484095     229351972     66027048      19369962      5846751       1832916       603160        210753        78406         30772         12712         5586          2397          1133          513           224           97            53            12            8             4             2             5             25            93            280           787           2067          5380          12222         26755         55698         108491        200328        349617        573416        890159        1299675       1789086       2316201       2817289       3213870       3438931       3446660       3222330       2810054       2274571       1707233       1184977       754378        439586        235047        112692        48588         18686         6268          1851          419           97            20            2             0             0             
0.400 0            0.999997        347.143         5123        880         1098        1552        847822971     746518565     5788699       0             9870539994    5252466459    225117967     404587223     55280147      38828441      29873784      24187529      20236642      17367524      15201343      13519354      12166090      11060347      10139713      9355467       8690795       8114735       7604681       7157612       6757291       6401317       6080709       5793335       5530982       5292801       5067971       4866535       4681060       4505304       4342479       4195887       4056412       3924846       3799859       3686435       3577734       3475414       3378740       3286258       3203439       3115633       3040113       2965474       2895781       2830266       2765241       2702641       2646324       2584663       2536058       2482774       2435545       2382967       2338726       2294915       2248666       2202458       2152113       2100836       2029878       1924535       1778352       1562619       1256390       863403        410365        
0.400 1            1               7.54494         2629        4           13          187         3236262900    3186775487    2451067       0             3889382782    2778602572    29005339      2238712516    454000576     211741688     113632019     65449569      38375830      22048597      13034527      7762866       4629666       2764619       1656169       991292        597605        362682        224017        143526        98911         78397         81410         115059        186127        293171        420618        537882        613009        625991        579001        498001        414070        365054        378175        471952        664210        957391        1354129       1849518       2421235       3028254       3615682       4125771       4499773       4679309       4639275       4381002       3941952       3371695       2752167       2147927       1619189       1186754       868732        648432        494222        380430        287758        203973        130656        74087         35864         13966         4058          803           94            
